condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,1,stlr,after_group,0,1000000,1000000,3739175,1183744,3.739,1.184,3.7392,PASS
hit,1,stlr,after_group,1,1000000,1000000,3784164,1207872,3.784,1.208,3.7842,PASS
hit,1,stlr,after_group,2,1000000,1000000,3915236,1230464,3.915,1.230,3.9152,PASS
hit,1,stlr,after_group,3,1000000,1000000,3774044,1192000,3.774,1.192,3.7740,PASS
hit,1,stlr,after_group,4,1000000,1000000,3871861,1214656,3.872,1.215,3.8719,PASS
hit,1,stlr,after_group,5,1000000,1000000,3747937,1176128,3.748,1.176,3.7479,PASS
hit,1,stlr,after_group,6,1000000,1000000,3821770,1199200,3.822,1.199,3.8218,PASS
hit,1,stlr,after_group,7,1000000,1000000,3951346,1239616,3.951,1.240,3.9513,PASS
hit,1,stlr,after_group,8,1000000,1000000,3828303,1202784,3.828,1.203,3.8283,PASS
hit,1,stlr,after_group,9,1000000,1000000,3863981,1213504,3.864,1.214,3.8640,PASS
hit,2,dmb_ish,after_every,0,1000000,2000000,6814049,2162848,6.814,2.163,3.4070,PASS
hit,2,dmb_ish,after_every,1,1000000,2000000,6832185,2133024,6.832,2.133,3.4161,PASS
hit,2,dmb_ish,after_every,2,1000000,2000000,6775247,2115936,6.775,2.116,3.3876,PASS
hit,2,dmb_ish,after_every,3,1000000,2000000,6857432,2139360,6.857,2.139,3.4287,PASS
hit,2,dmb_ish,after_every,4,1000000,2000000,6799573,2122304,6.800,2.122,3.3998,PASS
hit,2,dmb_ish,after_every,5,1000000,2000000,6829113,2130880,6.829,2.131,3.4146,PASS
hit,2,dmb_ish,after_every,6,1000000,2000000,6790751,2119904,6.791,2.120,3.3954,PASS
hit,2,dmb_ish,after_every,7,1000000,2000000,6817623,2128352,6.818,2.128,3.4088,PASS
hit,2,dmb_ish,after_every,8,1000000,2000000,6803963,2124000,6.804,2.124,3.4020,PASS
hit,2,dmb_ish,after_every,9,1000000,2000000,6879918,2149248,6.880,2.149,3.4400,PASS
hit,2,dmb_ish,after_group,0,1000000,2000000,6801501,2156800,6.802,2.157,3.4008,PASS
hit,2,dmb_ish,after_group,1,1000000,2000000,6797839,2122944,6.798,2.123,3.3989,PASS
hit,2,dmb_ish,after_group,2,1000000,2000000,6797988,2131424,6.798,2.131,3.3990,PASS
hit,2,dmb_ish,after_group,3,1000000,2000000,6827879,2131328,6.828,2.131,3.4139,PASS
hit,2,dmb_ish,after_group,4,1000000,2000000,6841560,2135200,6.842,2.135,3.4208,PASS
hit,2,dmb_ish,after_group,5,1000000,2000000,6768747,2113024,6.769,2.113,3.3844,PASS
hit,2,dmb_ish,after_group,6,1000000,2000000,6829966,2131744,6.830,2.132,3.4150,PASS
hit,2,dmb_ish,after_group,7,1000000,2000000,6841463,2147840,6.841,2.148,3.4207,PASS
hit,2,dmb_ish,after_group,8,1000000,2000000,6837004,2134816,6.837,2.135,3.4185,PASS
hit,2,dmb_ish,after_group,9,1000000,2000000,6719111,2098880,6.719,2.099,3.3596,PASS
hit,2,dmb_ishst,after_every,0,1000000,2000000,6834827,2158496,6.835,2.158,3.4174,PASS
hit,2,dmb_ishst,after_every,1,1000000,2000000,6876576,2145984,6.877,2.146,3.4383,PASS
hit,2,dmb_ishst,after_every,2,1000000,2000000,6858601,2144864,6.859,2.145,3.4293,PASS
hit,2,dmb_ishst,after_every,3,1000000,2000000,6796229,2122016,6.796,2.122,3.3981,PASS
hit,2,dmb_ishst,after_every,4,1000000,2000000,6800101,2122816,6.800,2.123,3.4001,PASS
hit,2,dmb_ishst,after_every,5,1000000,2000000,6784608,2118112,6.785,2.118,3.3923,PASS
hit,2,dmb_ishst,after_every,6,1000000,2000000,6773664,2113536,6.774,2.114,3.3868,PASS
hit,2,dmb_ishst,after_every,7,1000000,2000000,6800725,2122176,6.801,2.122,3.4004,PASS
hit,2,dmb_ishst,after_every,8,1000000,2000000,6817562,2128768,6.818,2.129,3.4088,PASS
hit,2,dmb_ishst,after_every,9,1000000,2000000,6809890,2125856,6.810,2.126,3.4049,PASS
hit,2,dmb_ishst,after_group,0,1000000,2000000,6765826,2123552,6.766,2.124,3.3829,PASS
hit,2,dmb_ishst,after_group,1,1000000,2000000,6762394,2111968,6.762,2.112,3.3812,PASS
hit,2,dmb_ishst,after_group,2,1000000,2000000,6813321,2129280,6.813,2.129,3.4067,PASS
hit,2,dmb_ishst,after_group,3,1000000,2000000,6885017,2150880,6.885,2.151,3.4425,PASS
hit,2,dmb_ishst,after_group,4,1000000,2000000,6781023,2117120,6.781,2.117,3.3905,PASS
hit,2,dmb_ishst,after_group,5,1000000,2000000,6788515,2119072,6.789,2.119,3.3943,PASS
hit,2,dmb_ishst,after_group,6,1000000,2000000,6835551,2134656,6.836,2.135,3.4178,PASS
hit,2,dmb_ishst,after_group,7,1000000,2000000,6770331,2130656,6.770,2.131,3.3852,PASS
hit,2,dmb_ishst,after_group,8,1000000,2000000,6787246,2118208,6.787,2.118,3.3936,PASS
hit,2,dmb_ishst,after_group,9,1000000,2000000,6810077,2125408,6.810,2.125,3.4050,PASS
hit,2,dmb_st,after_every,0,1000000,2000000,6843085,2140384,6.843,2.140,3.4215,PASS
