condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,2,ldapr,after_group,8,1000000,2000000,5807718,1814976,5.808,1.815,2.9039,PASS
hit,2,ldapr,after_group,9,1000000,2000000,5813853,1817312,5.814,1.817,2.9069,PASS
hit,2,ldar,after_every,0,1000000,2000000,5717317,1794976,5.717,1.795,2.8587,PASS
hit,2,ldar,after_every,1,1000000,2000000,5714623,1788000,5.715,1.788,2.8573,PASS
hit,2,ldar,after_every,2,1000000,2000000,5790106,1808288,5.790,1.808,2.8951,PASS
hit,2,ldar,after_every,3,1000000,2000000,5708399,1784832,5.708,1.785,2.8542,PASS
hit,2,ldar,after_every,4,1000000,2000000,5755350,1799168,5.755,1.799,2.8777,PASS
hit,2,ldar,after_every,5,1000000,2000000,5774306,1805184,5.774,1.805,2.8872,PASS
hit,2,ldar,after_every,6,1000000,2000000,5713680,1785856,5.714,1.786,2.8568,PASS
hit,2,ldar,after_every,7,1000000,2000000,5774345,1805664,5.774,1.806,2.8872,PASS
hit,2,ldar,after_every,8,1000000,2000000,5757424,1800288,5.757,1.800,2.8787,PASS
hit,2,ldar,after_every,9,1000000,2000000,5696766,1778880,5.697,1.779,2.8484,PASS
hit,2,ldar,after_group,0,1000000,2000000,5762725,1839296,5.763,1.839,2.8814,PASS
hit,2,ldar,after_group,1,1000000,2000000,5772294,1803264,5.772,1.803,2.8861,PASS
hit,2,ldar,after_group,2,1000000,2000000,5801950,1817632,5.802,1.818,2.9010,PASS
hit,2,ldar,after_group,3,1000000,2000000,5781622,1806560,5.782,1.807,2.8908,PASS
hit,2,ldar,after_group,4,1000000,2000000,5772882,1802432,5.773,1.802,2.8864,PASS
hit,2,ldar,after_group,5,1000000,2000000,5764823,1801568,5.765,1.802,2.8824,PASS
hit,2,ldar,after_group,6,1000000,2000000,5803599,1813536,5.804,1.814,2.9018,PASS
hit,2,ldar,after_group,7,1000000,2000000,5793665,1811232,5.794,1.811,2.8968,PASS
hit,2,ldar,after_group,8,1000000,2000000,5767805,1802112,5.768,1.802,2.8839,PASS
hit,2,ldar,after_group,9,1000000,2000000,5805872,1814336,5.806,1.814,2.9029,PASS
hit,4,dmb_ish,after_every,0,1000000,4000000,9929057,3127232,9.929,3.127,2.4823,PASS
hit,4,dmb_ish,after_every,1,1000000,4000000,9712855,3026240,9.713,3.026,2.4282,PASS
hit,4,dmb_ish,after_every,2,1000000,4000000,9716230,3047296,9.716,3.047,2.4291,PASS
